Powertrain,Year,Unit,Value
Publicly available fast,2011,Charging points,1679.0
Publicly available fast,2012,Charging points,3282.0
Publicly available fast,2013,Charging points,6378.0
Publicly available fast,2014,Charging points,28480.0
Publicly available fast,2015,Charging points,56265.0
Publicly available fast,2016,Charging points,152858.0
Publicly available fast,2017,Charging points,232161.0
Publicly available fast,2018,Charging points,303231.0
Publicly available fast,2019,Charging points,551872.0
Publicly available fast,2020,Charging points,2323085.0
Publicly available fast,2021,Charging points,3441502.0
Publicly available fast,2022,Charging points,5503126.0
Publicly available fast,2023,Charging points,8575086.0
