Parameter,Year,Unit,Value
Electricity demand,2010,Gwh,1924.0
Electricity demand,2011,Gwh,2175.0
Electricity demand,2012,Gwh,2519.0
Electricity demand,2013,Gwh,3410.0
Electricity demand,2014,Gwh,4814.0
Electricity demand,2015,Gwh,11220.0
Electricity demand,2016,Gwh,18840.0
Electricity demand,2017,Gwh,26200.0
Electricity demand,2018,Gwh,36500.0
Electricity demand,2019,Gwh,41000.0
Electricity demand,2020,Gwh,128700.0
Electricity demand,2021,Gwh,177300.0
Electricity demand,2022,Gwh,195600.0
Electricity demand,2023,Gwh,372900.0
