Region,Unit,Value
South Africa,Charging points,917.0
New Zealand,Charging points,1019.0
Indonesia,Charging points,1264.0
Chile,Charging points,2078.0
Iceland,Charging points,3304.0
Thailand,Charging points,6626.0
Israel,Charging points,6700.0
Brazil,Charging points,8246.0
Greece,Charging points,9189.0
Mexico,Charging points,9423.0
Australia,Charging points,11310.0
Turkiye,Charging points,12099.0
Poland,Charging points,13830.0
Portugal,Charging points,26400.0
Finland,Charging points,31950.0
Austria,Charging points,36900.0
Denmark,Charging points,57490.0
Switzerland,Charging points,60400.0
Spain,Charging points,60500.0
Sweden,Charging points,87305.0
Canada,Charging points,93820.0
Belgium,Charging points,98990.0
Norway,Charging points,115100.0
Italy,Charging points,124800.0
United Kingdom,Charging points,191100.0
Japan,Charging points,194600.0
Germany,Charging points,314300.0
France,Charging points,357100.0
Korea,Charging points,559100.0
Netherlands,Charging points,590400.0
India,Charging points,3256400.0
USA,Charging points,5740380.0
Rest of the world,Charging points,7962000.0
China,Charging points,45084000.0
